gene,log2FoldChange,pvalue,padj
USP32,-1.656792014,0.011449354,0.060888245
PAK3,3.327774543,0.011492647,0.061075726
CROCCP3,1.43128526,0.011496794,0.061075726
MTG1,1.32272743,0.011498766,0.061075726
SLC26A11,3.485522685,0.011499253,0.061075726
GDAP2,-2.001306532,0.011501166,0.061075726
PLCB2,-2.078346812,0.01151005,0.061105309
CD101,3.575041835,0.011523784,0.061160617
PDLIM3,2.293332141,0.011529037,0.061170894
PLEKHA6,2.109842231,0.011544731,0.061236546
ZDHHC22,4.985798577,0.011550089,0.061247354
SESN3,-1.445106647,0.011590824,0.061445695
TRIML1,7.362528481,0.011603298,0.061494143
LHFPL3-AS2,3.256849491,0.011629992,0.061605232
GLO1,-2.186153576,0.01163094,0.061605232
MPL,3.224747441,0.01164511,0.061662579
ODF2,1.098355779,0.01165735,0.061709675
RPS20,-1.729125091,0.011663163,0.061722729
LSP1,-3.216068639,0.011669525,0.061738682
LSP1,-3.216068639,0.011669525,0.061738682
PPCS,-2.903154508,0.011677856,0.061757201
POU3F1,3.09566279,0.011679722,0.061757201
SLC36A1,1.779934671,0.011704231,0.061869054
KDELR2,-1.644805856,0.011719069,0.061929737
ZMPSTE24,-1.782903461,0.011782394,0.062246545
KRT3,4.95192177,0.011795718,0.062288472
PATE1,7.171658618,0.011797085,0.062288472
BBS10,-2.578975118,0.011820856,0.062396123
SLC20A2,-2.106954403,0.011868613,0.062630279
OR2S2,7.360507323,0.011881211,0.062678828
CXCR1,-5.318777172,0.011899162,0.062755572
FAM171B,1.762662003,0.011906926,0.062773891
NINL,2.034305757,0.011909442,0.062773891
G0S2,-3.077922154,0.011916897,0.062795236
API5,-1.646384252,0.011929498,0.062843682
SLC26A7,3.693590047,0.011941742,0.062890219
EIF5A,1.602105071,0.011951969,0.062926109
EIF5A,1.602105071,0.011951969,0.062926109
DCP2,-1.419020683,0.011963413,0.062968388
SCAF1,1.4571828,0.011971577,0.06299338
PLEKHA7,1.995985704,0.012035096,0.063213161
SIAH3,5.42690119,0.012039564,0.063213161
USP35,1.845706315,0.012050553,0.063213161
AOPEP,2.423141194,0.012067156,0.063213161
SCUBE1,3.942006096,0.012067654,0.063213161
SPAG11B,7.389390376,0.012068185,0.063213161
SPAG11B,7.389390376,0.012068185,0.063213161
SPAG11B,7.389390376,0.012068185,0.063213161
CSH2,7.389390376,0.012068185,0.063213161
AFM,7.389390376,0.012068185,0.063213161
ALG1L,7.389390376,0.012068185,0.063213161
GSX1,7.389390376,0.012068185,0.063213161
LINC00922,7.389390376,0.012068185,0.063213161
LOC339298,7.389390376,0.012068185,0.063213161
PFN3,7.389390376,0.012068185,0.063213161
LINC02393,7.389390376,0.012068185,0.063213161
HAND2-AS1,7.389390376,0.012068185,0.063213161
CATSPERB,7.389390376,0.012068185,0.063213161
CATSPERB,7.389390376,0.012068185,0.063213161
ING5,1.373336717,0.01208036,0.063258968
ADGRV1,2.946380217,0.012104891,0.063369432
MAP4K1,-2.997848008,0.012131423,0.063490304
MAP4K1,-2.997848008,0.012131423,0.063490304
CMTR2,-1.952522095,0.012137819,0.063499092
MANSC1,-1.580293731,0.012139988,0.063499092
MANSC1,-1.580293731,0.012139988,0.063499092
NFIB,1.221764911,0.012150774,0.06353749
SF3A1,-1.678865608,0.012160067,0.063560835
THAP7,-3.166546722,0.012162131,0.063560835
ABRAXAS2,-1.871154892,0.01218014,0.063636919
HK2,-1.709826939,0.01220611,0.063736509
SIGLEC5,-4.049451921,0.012209298,0.063736509
CREBZF,1.51393138,0.01221253,0.063736509
PDZRN4,3.884361915,0.012213025,0.063736509
ZNF518B,-1.779984665,0.012234194,0.063798807
LBX1-AS1,6.54523334,0.01223534,0.063798807
NXF2,6.54523334,0.01223534,0.063798807
GTF2A1,-1.453181781,0.012241476,0.063812761
UBE2E2,-2.244977886,0.012251563,0.063847292
ELL2,1.594626971,0.012282691,0.063982919
LINC00565,4.706861262,0.012293642,0.063982919
CRYGB,7.375846599,0.012294934,0.063982919
SOAT2,7.375846599,0.012294934,0.063982919
GALR3,7.375846599,0.012294934,0.063982919
CAND2,-2.264519355,0.012313766,0.064059963
TPPP3,1.867012728,0.012318661,0.064059963
SLC24A2,4.186890719,0.012320471,0.064059963
URGCP,2.096205012,0.012323632,0.064059963
C6,6.439565467,0.01234918,0.064174675
HMG20A,-1.818304849,0.012383642,0.064319149
GEMIN8,2.106309923,0.012383956,0.064319149
SCAMP1,-1.749931145,0.012427687,0.064528108
DCC,4.325544047,0.012439124,0.06456931
FBXL17,1.638841063,0.01245535,0.06457657
RPTN,6.529734155,0.012465032,0.06457657
DCST2,6.529734155,0.012465032,0.06457657
CRX,6.529734155,0.012465032,0.06457657
GP5,6.529734155,0.012465032,0.06457657
NUTM2F,6.529734155,0.012465032,0.06457657
RS1,6.529734155,0.012465032,0.06457657
KIF2A,-1.242114003,0.012472836,0.064598852
TOR1B,-2.170175805,0.012540801,0.064932618
ZNF703,-1.959175581,0.012563635,0.065032589
ARHGAP15,-3.196481719,0.012575946,0.065078049
HIPK1,-1.676780403,0.012582501,0.065093709
IFT172,1.485991712,0.012598807,0.065159784
TENT5C,3.276407102,0.012606993,0.065183847
CAP1,-1.293936681,0.01261906,0.065227948
EPHA5,3.85188405,0.012624197,0.06523622
CEACAM7,5.07082952,0.012659581,0.065400743
CEACAM7,5.07082952,0.012659581,0.065400743
PCDHA11,4.731907749,0.012668918,0.065427773
A2M,-2.052390515,0.012671908,0.065427773
RASGRF1,3.158540631,0.012692149,0.065512562
GFM1,-1.87515494,0.012695434,0.065512562
SERGEF,-3.190405245,0.01270113,0.065523621
ERBB4,2.511017523,0.012707013,0.065535639
CLSTN1,-1.058461328,0.012721474,0.065591876
LRRC19,6.738925657,0.012745727,0.065698557
IL4I1,-3.814684312,0.012764131,0.06577504
CELF5,3.051742748,0.012779612,0.065824154
ATRN,-1.206502361,0.0127808,0.065824154
HCAR3,-5.032453594,0.012787425,0.065839889
AVL9,-1.433617544,0.012798102,0.065876469
RPH3AL-AS1,-4.601010734,0.012808638,0.065912306
SPATA33,2.271477394,0.012843434,0.066072927
IGSF10,-2.484559551,0.012868874,0.066185344
NRGN,1.741962248,0.012873546,0.066190916
ANAPC1P2,2.090426474,0.012878771,0.066199137
SYNPO2L,3.691549281,0.012882324,0.066199137
SOX7,-1.465457931,0.012886012,0.066199643
SOX7,-1.465457931,0.012886012,0.066199643
RNF213-AS1,2.95153019,0.012892795,0.066216046
CYB5D1,1.387777366,0.012901025,0.066223034
CDS2,-1.354238199,0.012901337,0.066223034
ZKSCAN2,3.033979003,0.01290883,0.06624306
TTC21B-AS1,5.270888946,0.012932941,0.066348326
PROK2,-5.718852822,0.012968934,0.066514476
MC3R,6.314022947,0.012979552,0.066550425
OGDHL,4.45087201,0.012986629,0.066552817
LRP2,2.669343274,0.012987236,0.066552817
POMGNT2,2.750345857,0.012996606,0.066582336
DTX3L,-1.94434271,0.013005574,0.066608869
SPATS1,5.440063265,0.013009009,0.066608869
AHI1,1.32251216,0.013031289,0.066704431
EIF4G3,1.220724088,0.013037428,0.066717337
SNAI1,2.360313593,0.013042623,0.066725408
VAMP2,-1.973841351,0.013100062,0.067000677
VAMP3,-2.033564121,0.013107119,0.067001261
PCOLCE-AS1,5.947989438,0.013110753,0.067001261
GPR176,1.957172429,0.013111075,0.067001261
NYAP2,4.771770998,0.013143351,0.067147597
UBA52,-1.363633775,0.01315207,0.06716823
LOC90246,2.801112581,0.013154674,0.06716823
CYP26C1,2.670060707,0.013168464,0.067220032
IVNS1ABP,2.107970293,0.013179605,0.067246352
FN3K,-3.137891892,0.013180912,0.067246352
PRDM4,-1.52942691,0.013217011,0.067411875
RNF41,-1.533013969,0.013283152,0.067730488
FBXW10,7.301603904,0.013298794,0.067791501
PPP3R1,-1.311111724,0.013303549,0.067797005
SELL,-2.806163346,0.01333547,0.067940903
METTL21A,-2.711287275,0.013367345,0.06808449
PLAGL2,2.841172987,0.013381251,0.068136503
ZFP37,3.691694624,0.013404372,0.068235394
CCAR1,1.33377317,0.013422843,0.068310568
EP400P1,1.813969589,0.013427373,0.068314768
RUNX2,-1.699538126,0.013446603,0.068393738
DMRT2,6.034780848,0.013455531,0.06842028
EML3,1.78799769,0.013478748,0.068519447
CNMD,4.837697741,0.013486794,0.068541454
PHF10,1.778904508,0.01352902,0.068737112
C8orf34,4.343423404,0.013590139,0.069028626
TGFB3,2.278412158,0.013618197,0.069152096
MEMO1,2.007686334,0.013638714,0.069229638
GAS2L1,1.235033224,0.013641355,0.069229638
ZNF442,-4.306346237,0.013644729,0.069229638
HSDL2,-1.486058893,0.013650885,0.069241826
C3orf52,3.439363417,0.013661495,0.06927659
C3orf52,3.439363417,0.013661495,0.06927659
PCK1,3.905230771,0.013669343,0.069297334
ADGB,4.352985186,0.0137018,0.069442786
LINC01018,4.859660702,0.013706922,0.069449659
H2BC18,-2.101424369,0.013718808,0.069490795
GPRIN1,2.189705401,0.013757535,0.069666002
SSUH2,3.471039449,0.013760953,0.069666002
FUT3,9.44774687,0.01376863,0.06968574
TNFSF12,-2.239720315,0.013789649,0.069772974
ABHD3,-2.025809128,0.01381111,0.069845729
CCDC17,4.997298715,0.01381245,0.069845729
NSMCE3,-2.448248918,0.013815389,0.069845729
NSMCE3,-2.448248918,0.013815389,0.069845729
ALKAL1,7.160333134,0.013824109,0.069851518
USP26,7.160333134,0.013824109,0.069851518
NEURL1,3.355318752,0.013860792,0.070017688
RAB31,-1.460423269,0.013880596,0.070098532
GTF2IRD2P1,6.852485132,0.013900285,0.070178743
PEX2,-2.823220924,0.013907308,0.070194986
LILRP2,4.220628331,0.013928704,0.070280786
LILRP2,4.220628331,0.013928704,0.070280786
LILRP2,4.220628331,0.013928704,0.070280786
LILRP2,4.220628331,0.013928704,0.070280786
LILRP2,4.220628331,0.013928704,0.070280786
LILRP2,4.220628331,0.013928704,0.070280786
LILRP2,4.220628331,0.013928704,0.070280786
LILRP2,4.220628331,0.013928704,0.070280786
LILRP2,4.220628331,0.013928704,0.070280786
LILRP2,4.220628331,0.013928704,0.070280786
LILRP2,4.220628331,0.013928704,0.070280786
LILRP2,4.220628331,0.013928704,0.070280786
LILRP2,4.220628331,0.013928704,0.070280786
LILRP2,4.220628331,0.013928704,0.070280786
LILRP2,4.220628331,0.013928704,0.070280786
LILRP2,4.220628331,0.013928704,0.070280786
LILRP2,4.220628331,0.013928704,0.070280786
LILRP2,4.220628331,0.013928704,0.070280786
LILRP2,4.220628331,0.013928704,0.070280786
LILRP2,4.220628331,0.013928704,0.070280786
LILRP2,4.220628331,0.013928704,0.070280786
LILRP2,4.220628331,0.013928704,0.070280786
LILRP2,4.220628331,0.013928704,0.070280786
LILRP2,4.220628331,0.013928704,0.070280786
LILRP2,4.220628331,0.013928704,0.070280786
LILRP2,4.220628331,0.013928704,0.070280786
LILRP2,4.220628331,0.013928704,0.070280786
LILRP2,4.220628331,0.013928704,0.070280786
LILRP2,4.220628331,0.013928704,0.070280786
LILRP2,4.220628331,0.013928704,0.070280786
LILRP2,4.220628331,0.013928704,0.070280786
LILRP2,4.220628331,0.013928704,0.070280786
LILRP2,4.220628331,0.013928704,0.070280786
LILRP2,4.220628331,0.013928704,0.070280786
LILRP2,4.220628331,0.013928704,0.070280786
LILRP2,4.220628331,0.013928704,0.070280786
LILRP2,4.220628331,0.013928704,0.070280786
LILRP2,4.220628331,0.013928704,0.070280786
TESC,-2.945748917,0.013931928,0.070280786
PPP1R12C,1.212382154,0.013972277,0.070465052
HSPD1,-1.511519688,0.013991131,0.070539107
DOCK11,-1.847573191,0.013996405,0.070539107
EHMT2,1.995339066,0.014001737,0.070539107
EHMT2,1.995339066,0.014001737,0.070539107
EHMT2,1.995339066,0.014001737,0.070539107
EHMT2,1.995339066,0.014001737,0.070539107
EHMT2,1.995339066,0.014001737,0.070539107
EHMT2,1.995339066,0.014001737,0.070539107
EHMT2,1.995339066,0.014001737,0.070539107
SNORA57,-2.089897126,0.014002259,0.070539107
LINC00905,6.162950414,0.014025777,0.070570961
AHSG,6.162950414,0.014025777,0.070570961
CMPK1,-1.749327574,0.014026258,0.070570961
NPM2,3.458233716,0.014026594,0.070570961
VGLL2,4.750014658,0.014030318,0.070570961
LCN2,-5.165477798,0.014031541,0.070570961
DR1,-1.836368656,0.014036393,0.070576116
PHYHIPL,2.717980418,0.014050278,0.070626679
ME1,2.069529221,0.014075094,0.070721783
C12orf76,3.421424849,0.014079374,0.070721783
LCN10,3.965611548,0.014083305,0.070721783
CCDC28B,3.106430223,0.014088065,0.070721783
ZSWIM8,1.222217214,0.01408925,0.070721783
ATL3,-1.496191215,0.014092206,0.070721783
CEP126,2.270539801,0.0141525,0.071005048
STEAP1B,2.598838427,0.014172013,0.071083612
TAL1,-1.880871298,0.014189961,0.071154282
ADAM9,-1.834641514,0.01420526,0.071211638
ADAM9,-1.834641514,0.01420526,0.071211638
B3GALT1,4.324060157,0.014210219,0.071217137
CARMIL3,4.383337301,0.014222313,0.071258388
CARMIL3,4.383337301,0.014222313,0.071258388
GRAMD1B,2.019612391,0.014242559,0.071340442
THBS3,2.063940787,0.014250498,0.071355993
LINC01056,7.060651583,0.014254065,0.071355993
TET2,-1.039553722,0.01425727,0.071355993
ADA,2.106574522,0.014275855,0.071429622
LOC100144595,7.254038356,0.014291961,0.071489242
CDH1,4.431753668,0.014295523,0.071489242
INSM2,6.147789512,0.014300139,0.07149294
C15orf61,2.439605832,0.014334639,0.071637997
IFFO2,1.840446199,0.014336922,0.071637997
CCDC83,7.072119265,0.014365571,0.071742274
LOC440910,7.072119265,0.014365571,0.071742274
ING4,2.364974866,0.014407035,0.071929869
NPHP3-AS1,7.088046864,0.014411836,0.071934369
LINC01128,2.519251572,0.014472793,0.072219081
LOC100192426,4.295560641,0.014495045,0.072294946
SNORA67,-2.26118148,0.014495836,0.072294946
BFAR,-1.723081583,0.014509555,0.072329224
BFAR,-1.723081583,0.014509555,0.072329224
LHX4,4.547791112,0.014510553,0.072329224
APPL1,-2.015198044,0.014524931,0.072381329
PABPC3,-1.241501997,0.014536644,0.072420132
HSD17B2,7.257092625,0.014603278,0.072732448
CCDC121,-3.26556944,0.014632178,0.07285671
TENT4A,1.601637656,0.014649689,0.072924215
CHRNE,3.138514045,0.014664335,0.072977425
CCNI2,4.316261186,0.014673911,0.072993577
LOC286083,6.108368804,0.014675497,0.072993577
LOC286083,6.108368804,0.014675497,0.072993577
NBPF15,2.588678077,0.014681588,0.073004188
TRMT1,2.027531741,0.014702117,0.073086562
TMEM44,1.280238917,0.014713293,0.07312241
GNPTAB,-1.065847941,0.014728745,0.073179485
CXCR5,4.310425854,0.014745733,0.073244157
ZNF528,2.28204577,0.014758881,0.073289728
LGALS4,5.718848741,0.014763392,0.073292393
LGALS4,5.718848741,0.014763392,0.073292393
ACTR3,-1.07303868,0.014771883,0.073314812
ADGRF2,4.908641774,0.014797944,0.073424397
GNS,-1.717983384,0.014803048,0.073429964
EGFL6,3.241489278,0.014822668,0.073507521
SPRY1,2.265595091,0.014848517,0.073604473
SPINT4,9.344016387,0.0148502,0.073604473
COQ10B,-2.297022134,0.014860415,0.073635314
BOLL,5.434089281,0.014873947,0.07368257
DFFA,-1.465510989,0.014888024,0.073732498
PGC,4.954600417,0.014910735,0.073825149
SNORD116-2,-2.3021394,0.014919603,0.073849234
GPM6B,-3.333842961,0.014927676,0.073869369
CPEB2-DT,3.335085617,0.014932363,0.073872738
CPEB2-DT,3.335085617,0.014932363,0.073872738
FICD,3.7680532,0.014958086,0.073980149
CPSF2,-1.346547492,0.01497672,0.074001373
TASL,-2.34492838,0.014991742,0.074001373
DDX19A,-1.625855955,0.015003053,0.074001373
ARL6IP1,-1.618254204,0.015006576,0.074001373
BEND2,3.309125077,0.015016246,0.074001373
RNF14,-1.312384902,0.015017352,0.074001373
MLNR,4.219590585,0.015043566,0.074001373
LINC00184,8.293372829,0.015054663,0.074001373
MARK2P9,8.293372829,0.015054663,0.074001373
CADM2-AS2,8.293372829,0.015054663,0.074001373
OSR2,8.293372829,0.015054663,0.074001373
ZFP42,8.293372829,0.015054663,0.074001373
LOC150935,8.293372829,0.015054663,0.074001373
OR5D18,8.293372829,0.015054663,0.074001373
OR9I1,8.293372829,0.015054663,0.074001373
H2AP,8.293372829,0.015054663,0.074001373
OR10H1,8.293372829,0.015054663,0.074001373
OR2J2,8.293372829,0.015054663,0.074001373
OR2J2,8.293372829,0.015054663,0.074001373
OR2J2,8.293372829,0.015054663,0.074001373
OR2J2,8.293372829,0.015054663,0.074001373
OR2J2,8.293372829,0.015054663,0.074001373
OR2J2,8.293372829,0.015054663,0.074001373
OR2J2,8.293372829,0.015054663,0.074001373
OR2J2,8.293372829,0.015054663,0.074001373
OR4C13,8.293372829,0.015054663,0.074001373
ASPG,8.293372829,0.015054663,0.074001373
BTG4,8.293372829,0.015054663,0.074001373
RGPD6,8.293372829,0.015054663,0.074001373
ZNF735,8.293372829,0.015054663,0.074001373
NYAP1,2.866623995,0.015058747,0.074001726
AIF1,-1.921118148,0.01506675,0.074021328
AIF1,-1.921118148,0.01506675,0.074021328
AIF1,-1.921118148,0.01506675,0.074021328
AIF1,-1.921118148,0.01506675,0.074021328
AIF1,-1.921118148,0.01506675,0.074021328
AIF1,-1.921118148,0.01506675,0.074021328
CCER1,3.269587275,0.015088922,0.074096134
CDC42BPG,3.070007361,0.015090011,0.074096134
CXXC1,1.203172965,0.015100932,0.074113158
MRFAP1L1,-1.561148278,0.015101515,0.074113158
HSPB1,-1.449505258,0.015126146,0.074214287
KCTD19,9.436210111,0.015133311,0.074229695
AMELX,5.449996977,0.015166271,0.074367204
YARS1,1.473599207,0.01516941,0.074367204
PAGR1,1.555711318,0.015185948,0.074428496
KIAA0040,-1.867971601,0.015201278,0.074483839
RHEB,1.487871969,0.015208304,0.074498473
UHMK1,-1.116087002,0.015248435,0.074675224
KCNIP3,3.308717372,0.015263195,0.074727663
SIGLEC14,-3.352832647,0.015313378,0.07495346
CUX2,2.878955117,0.015338134,0.075054712
DPF1,2.973666029,0.015346001,0.075073291
DNMBP,1.47493053,0.015353011,0.075087666
ZNF124,-2.13880175,0.015358129,0.075092784
ARHGEF6,-2.198651733,0.015366681,0.075114684
CASC2,4.495305364,0.015381502,0.075167208
LINC01590,4.924324973,0.015388634,0.075182141
ZBED5-AS1,3.290695676,0.015398928,0.075212509
NRG3,2.109777819,0.015403439,0.075214623
LGALS9C,5.061520143,0.015417415,0.07526294
LGALS9C,5.061520143,0.015417415,0.07526294
C20orf203,4.07812243,0.015442921,0.075367504
CRYZ,-2.371029603,0.015509698,0.075673377
CD44,-1.845814099,0.015517816,0.075692958
PBX1,-1.517724376,0.015538851,0.075755616
H2AW,-3.199705786,0.015538876,0.075755616
H2AW,-3.199705786,0.015538876,0.075755616
TCEAL1,-1.923965193,0.015584925,0.075908958
SPAST,-2.00002126,0.015587674,0.075908958
L3MBTL1,1.868894789,0.015589145,0.075908958
L3MBTL1,1.868894789,0.015589145,0.075908958
CFAP70,2.023585765,0.015590597,0.075908958
TMBIM1,-1.561836118,0.015595102,0.075908958
PIF1,3.802704078,0.015595183,0.075908958
IGF2BP3,2.68893607,0.015605732,0.075908958
SRP9,-1.928412424,0.015607017,0.075908958
EBF2,5.369214307,0.015607372,0.075908958
TOR1AIP2,-1.303908987,0.015642929,0.076061836
NFKBIL1,2.299218627,0.015649072,0.076071647
NFKBIL1,2.299218627,0.015649072,0.076071647
NFKBIL1,2.299218627,0.015649072,0.076071647
NFKBIL1,2.299218627,0.015649072,0.076071647
NFKBIL1,2.299218627,0.015649072,0.076071647
NFKBIL1,2.299218627,0.015649072,0.076071647
NFKBIL1,2.299218627,0.015649072,0.076071647
DACT3-AS1,6.582601523,0.015657822,0.076086394
SOWAHB,5.253355732,0.015660356,0.076086394
SFTPC,6.06905525,0.015669933,0.076110699
LRRC46,3.607201043,0.015673613,0.076110699
COL12A1,1.461499792,0.015694617,0.076186802
MAT2B,-1.702744064,0.015699537,0.076186802
TIMP4,3.532984046,0.015701987,0.076186802
RGS4,-3.781701542,0.015705808,0.076186802
KIFC3,2.045675079,0.015736743,0.07631679
TASOR2,1.286766549,0.015824279,0.076721128
NFATC2IP,1.365513817,0.015909625,0.077114643
TMEM151B,2.873871954,0.015914498,0.077117996
B4GAT1,-2.029005756,0.015927346,0.077131939
CTTNBP2,-2.180596478,0.015927971,0.077131939
BOD1,1.628220082,0.015929922,0.077131939
NDUFA12,1.981447985,0.015941578,0.077168117
SDS,3.119676658,0.015959034,0.07722093
UBE2DNL,6.356122289,0.015965563,0.07722093
TRIM73,6.356122289,0.015965563,0.07722093
PYCARD-AS1,2.792850942,0.015969236,0.07722093
NAA25,1.660955104,0.01599199,0.077310687
P3H4,1.880740416,0.016052539,0.077583065
CLU,-1.803999615,0.016086343,0.077726076
MAB21L4,7.213871091,0.016101635,0.077779586
CFAP157,3.543804406,0.016117162,0.0778342
BORCS6,-3.1681532,0.016145982,0.077923991
KBTBD7,-3.240885734,0.016148425,0.077923991
VPS13A,0.9853344,0.01614843,0.077923991
TNFSF11,7.091304811,0.016189922,0.078103777
LOC283731,4.559005032,0.016218765,0.078208733
HTR5A-AS1,4.878196003,0.01622016,0.078208733
ADCK1,1.991109565,0.016239552,0.078281772
TMEM185B,-1.658250193,0.016251334,0.078316146
INTS13,1.512398713,0.016255176,0.078316146
TBKBP1,1.272851649,0.016296219,0.078474469
HIPK3,-0.887222076,0.016300579,0.078474469
MAD2L2,-1.892575513,0.016300802,0.078474469
LOC440311,-1.293446124,0.01631787,0.078524907
STX6,-1.308301082,0.016321369,0.078524907
MRPL11,-2.504097366,0.016324052,0.078524907
C1orf216,1.423652428,0.016332753,0.078546274
FGD4,-1.589391979,0.016379598,0.078751021
ABCA1,-1.464399729,0.016427091,0.078958781
DPF3,2.333395568,0.016439534,0.078997999
ALKAL2,3.32564194,0.016460333,0.079077346
TIMELESS,1.416035159,0.016500356,0.079245329
HMOX2,1.305279525,0.016503894,0.079245329
HMOX2,1.305279525,0.016503894,0.079245329
LUC7L,1.768384399,0.016521187,0.07930772
ZBTB4,-1.124327974,0.016530502,0.079331782
ZBTB4,-1.124327974,0.016530502,0.079331782
